epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3855,2.92657,4.38173,2.08252,0.00077,0.04545,0.00044,0.00015,2.26096,4.05668,1.91795,6.25e-05,6.25e-05,6.25e-05
2,6.00537,2.25678,4.1433,1.7276,0.00504,0.34307,0.04901,0.01745,1.92273,3.92697,1.68044,0.000134777,0.000134777,0.000134777
3,7.36001,1.57078,3.60294,1.30856,0.01111,0.75758,0.15795,0.05497,1.62721,3.72032,1.23889,0.000204085,0.000204085,0.000204085
4,8.63117,1.40393,3.13662,1.19228,0.01409,0.96537,0.26012,0.11887,1.42917,3.54243,1.13569,0.000270422,0.000270422,0.000270422
5,9.93467,1.39826,2.58805,1.17275,0.01427,0.96483,0.41642,0.19594,1.35886,3.46167,1.16069,0.00033379,0.00033379,0.00033379
6,11.3089,1.37932,2.11554,1.15446,0.01442,0.954,0.51209,0.2775,1.2358,3.29368,1.09018,0.000394188,0.000394188,0.000394188
7,12.5831,1.3163,1.76675,1.11864,0.01374,0.90855,0.57332,0.34456,1.30542,3.13723,1.11233,0.000451615,0.000451615,0.000451615
8,13.8372,1.2316,1.67029,1.09573,0.01359,0.88636,0.63208,0.37632,1.24099,3.09535,1.08439,0.000506072,0.000506072,0.000506072
9,15.0926,1.24643,1.4934,1.09905,0.01225,0.84091,0.61243,0.34097,1.18874,3.08968,1.13542,0.00055756,0.00055756,0.00055756
10,16.3065,1.2139,1.36275,1.11426,0.01204,0.82955,0.5777,0.33,1.16164,3.10239,1.16668,0.000606078,0.000606078,0.000606078
11,17.5839,1.14341,1.32981,1.07708,0.97193,0.32642,0.63844,0.40958,1.16468,2.92647,1.13241,0.000651625,0.000651625,0.000651625
12,18.8077,1.10757,1.16546,1.03128,1,0.18955,0.699,0.42716,1.18475,2.7766,1.14928,0.000694203,0.000694203,0.000694203
13,20.0118,1.08287,1.1274,1.06582,1,0.26496,0.8102,0.49072,1.28093,2.65995,1.17564,0.00073381,0.00073381,0.00073381
14,21.2179,1.14864,1.12556,1.08537,1,0.31059,0.85185,0.53646,1.18981,2.52182,1.17497,0.000770448,0.000770448,0.000770448
15,22.4236,1.10256,1.10241,1.05767,0.89774,0.40241,0.86183,0.52862,1.26971,2.45337,1.19497,0.000804115,0.000804115,0.000804115
16,23.6085,1.06564,1.05461,1.03412,0.98778,0.44301,0.8914,0.59376,1.14324,2.28359,1.172,0.000834813,0.000834813,0.000834813
17,24.8398,1.01664,1.00412,1.03199,0.98593,0.50488,0.90165,0.57574,1.20241,2.14497,1.19853,0.000854,0.000854,0.000854
18,26.0829,1.00505,0.95994,1.02438,0.88979,0.76974,0.92063,0.60885,1.18693,1.83563,1.24204,0.00082925,0.00082925,0.00082925
19,27.2985,1.05558,0.9615,1.01873,0.92693,0.79829,0.93205,0.623,1.11539,1.77904,1.21433,0.0008045,0.0008045,0.0008045
20,28.5785,1.04227,0.98735,1.02759,0.93157,0.83999,0.93295,0.61367,1.16809,1.64725,1.18751,0.00077975,0.00077975,0.00077975
21,29.8391,1.00227,0.92823,1.02226,0.89307,0.88115,0.93152,0.62873,1.13708,1.49804,1.20474,0.000755,0.000755,0.000755
22,31.0763,0.9758,0.95162,1.01986,0.87587,0.91298,0.94886,0.63898,1.10511,1.22821,1.20022,0.00073025,0.00073025,0.00073025
23,32.3115,0.99516,0.90693,0.99731,0.89632,0.91319,0.95184,0.64868,1.0943,1.12626,1.22156,0.0007055,0.0007055,0.0007055
24,33.5559,0.97591,0.90021,1.01389,0.9428,0.92299,0.95927,0.66544,1.06222,1.07947,1.18268,0.00068075,0.00068075,0.00068075
25,34.7708,0.97263,0.88598,1.00723,0.96238,0.92535,0.95893,0.65423,1.08996,1.07264,1.16112,0.000656,0.000656,0.000656
26,36.0456,0.96147,0.85164,0.98985,0.91736,0.94668,0.95972,0.64912,1.0781,0.98324,1.22217,0.00063125,0.00063125,0.00063125
